00:00:00 [music]  the area of ​​forest fires a due to dry grosso in yakutia per day  my dear viewers, we are honestly talking about these terrible fires, but
00:00:23  figure per day in yakutia, the area of ​​fires increased by 9 thousand hectares  9000 fire all burning ecology yes yakutia far from other regions  well, what goes into the atmosphere 9 thousand hectares per day normal
00:00:53  prepared in russia for the summer season still the same question why lukashenka did  forests like in yakutia lukashenka never burns, but we have every year  Likud Krasnoyarsk Irkutsk Region as the head of Cyc Panfilov did today
00:01:15  a historic statement on suddenly realized that the upcoming elections will be incredible  difficult they will pass in an unfavorable external environment will lay the foundation  electoral cycle up to 24 years, they will be held under the cameras and over each ballot box
00:01:32  the law does not prohibit the camera will work that there was no falsification  but smaller and these cameras will be displayed live on a variety of Internet  resources and if somewhere someone appears something like that does not do it at night in two
00:01:49  days and three nights there a three-day vote virtually all of this will be  everyone is visible and this means that criminal cases are massive  will be if there will be falsification and criminal cases not any fool wants
00:02:07  risk it to get 10-15 years in prison and throw away ballots  there are other control systems of the 21st century from satellites in general, everyone says a joke  it will be seen that it will be very difficult to draw protocols in advance to throw out the bulletin
00:02:23  the main thing is where they want to do it all over the country so that they can sit down after all  power is so easy left and right until the situation becomes every day  more interesting and interesting and especially by the way around the game of Maxim Shevchenko
00:02:38  because Maxim is already threatening with criminal cases and dared to hold the congress  whether it is interesting to register his party in the elections or not the next few days are the same  panfilova tsik incredible news vice-governor of st.
00:02:55  health care oleg ergashev came out of vacation ahead of schedule it's time  vice-governor of St. Petersburg for health care on our channel  state secret i am on the platform guard him alexandrovich k
00:03:12  will tell today what he saw with his own eyes  will tell about what he heard with his own ears, including the statement of the academician  alexander ginzburg about the satellite vaccine and the delta headquarters disk
00:03:33  I will not say anything more, not enough strikes on the platforms of Andrey Karlov  state secret channel sensational interview Professor Olechka is one of the most  honest people in our country, so he was not afraid to say what is first of all
00:03:50  give away and can a satellite at least a satellite  to defeat the delta in fact what the creators of the satellite think so here  vice-governor of st. petersburg oleg ergashev accomplished a real feat came out of
00:04:09  vacation the situation in the city is uneasy in  on the basis of official figures how many deaths from this duty from this day  duties in the field of health care were removed from the vice-governor of Beletskiy so
00:04:22  how Irgashev came out of vacation said one of the sources  On June 15, smash the waves under the smoke and Ergashev unexpectedly went on vacation for  a month but thought that they were simply fired, well, until they fired from the Crimea with a virus
00:04:39  Ombudsman Moskalkov was hospitalized, the information confirmed it  raccoon press secretary kristina simonyan has not yet answered our question what  the vaccine was injected by Tatyana Nikolaevna Moskalkova, for sure a scale with some
