00:00:00 [music] let's start over again this is me hello  in December 2020, I flew to the Hawaiian island of oahu and toured it  up and down there is everything that your heart desires an ocean of waves and surfing volcanoes
00:00:13  whales awesome hiking trails and more  in short, so as not to repeat yourself, look at the release of this island, everything is in  the details of the soil sit short conclusion is bad then this is such a sample in Hawaiian
00:00:23  islands but the case of Hawaii was not limited to one island here very much  inhabited islands and I thought for a long time where they are the stunning island of kauai  [music]
00:00:40  beautiful true but unfortunately now it is completely closed for visiting there is no  if you enter there is another interesting island not how but it will not be possible to see not  in time to species not even after to species because this island is basically closed
00:00:54  public case with them while i even show you  nothing since the video from this island is extremely difficult to find on the Internet.  the unofficial name of the forbidden island is almost impossible to get here on
00:01:05  they and he do not have shops for roads, cars or telephone services  but about 200 people live here, these are indigenous Hawaiians who almost never  contacts with the outside world imagine this still exists today
00:01:18  America it would be very interesting to look at this island unfortunately  it is simply impossible to get in shorter, as it turned out, I had very little choice and  it was of course made by [music]
00:01:38  you will not believe, but in order for the sound of you to be gone, the island I had to do again  coffee test it was the fastest most painless to the kind test ever and now  guess how much it cost me 50 100 no 314 dollars 14 cents in the past
00:01:52  times for that kind of money it was possible to fly in Turkey on the front, in general, this  was the most expensive trip in the whole history of my solo travels and I decided  make it even more expensive [music]
00:02:06  I understand that this car is probably too cool for me, but it's not so much mine  whim how much production is necessary  ladies and gentlemen, welcome to the big island as you probably already
00:02:24  guessed from the name this is the largest island of the entire Hawaiian archipelago and  besides, he is the youngest, we will pass all his interesting places but  while a little rest in general rest long trips very
00:02:35  an important thing especially when being away from home you don't have  there are troubling questions such as the tap is flowing for the house for me, or  wiring and sho there in general with an apartment, but there is one proven tool that
00:02:47  will save you from such worries it is called ajax ajax  this is a professional wireless security system that I have been doing for another year  so one and a half ago I installed my studio here and I can tell you that this is very
00:02:57  convenient and very cool thing which, in principle, me and your attitude to  the safety of your belongings, this system can be installed anywhere  in the office in the apartment in the house in the store and in his absence with the help of just
00:03:08  one application to monitor everything at once and I will send a notification if somewhere  burst the pipe, a fire will start or someone will try to get through the door to you  or through the window if you install the machine is a motion sensor with a camera then
00:03:21  after the alarm you will receive a series of photos to quickly assess the situation  is it a burglar or just a cleaning lady my favorite feature is management  sockets using the phone and they can not only be turned off remotely
00:03:33  but also programming to turn on at a certain time is very cool and well,  the main acquisition for owners of a fresh repair is this leakage sensor  elix protect you can install a ligament solenoid valve during the repair phase
00:03:45  littered about that ax and in the event of a flood, at least the Hawaiians cut off the water from the mobile  applications follow the link in the description to order a starter kit  ajax and receive a leakage sensor whether x protect a gift and give them conceived
00:03:57  say I rented myself a room in a guest house in  in the town of hilo on the eastern part of the island you want a joke I just appear  settles in this half a mistress does not ask and you feel an earthquake
00:04:10  I say what winter 3 he says well, like this afternoon 3 6 points  our windows shook and this happens here on the big island quite  often in 2017, this happened every
